mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0.5240445931752523,0.04193008334728747,0.125229279200236,0.025470742437269565,10,4,5,200,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 200}",0.4444444444444444,0.30952380952380953,0.20512820512820512,0.3196988196988197,0.09796500641951372,77,0.774869109947644,0.7835051546391752,0.774869109947644,0.7777477915114878,0.004071070509341213
0.16259964307149252,0.016562904956608716,0.07053152720133464,0.006438922219894495,10,4,10,50,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 50}",0.4,0.37209302325581395,0.24691358024691357,0.3396688678342425,0.0665700501692576,65,0.7135135135135136,0.7643979057591623,0.8,0.7593038064242252,0.03549122400650577
0.32413752873738605,0.01097648568383189,0.10199475288391113,0.03613557946721856,10,4,10,100,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}",0.43373493975903615,0.3058823529411765,0.225,0.32153909756673754,0.08593182960251937,76,0.7446808510638298,0.7643979057591623,0.7446808510638298,0.7512532026289406,0.009294708720063818
0.5252964496612549,0.03670472584599348,0.09781614939371745,0.014054789331936171,10,4,10,200,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200}",0.425,0.32098765432098764,0.225,0.3236625514403292,0.08167156300675406,75,0.7301587301587301,0.7513227513227513,0.7553191489361702,0.7456002101392172,0.01103999626998648
0.18005951245625815,0.026597309137178716,0.11041045188903809,0.02899629929714361,15,1,2,50,"{'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",0.4827586206896552,0.48936170212765956,0.45652173913043476,0.47621402064924984,0.014183079935411982,2,1.0,1.0,1.0,1.0,0.0
0.2714273929595947,0.07868602111466474,0.07350810368855794,0.03466701522999735,15,1,2,100,"{'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.5116279069767442,0.46153846153846156,0.46153846153846156,0.47823494335122246,0.023612391023522156,1,1.0,1.0,1.0,1.0,0.0
0.4740432898203532,0.05785440508218004,0.11367106437683105,0.011969794856790693,15,1,2,200,"{'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.4943820224719101,0.46153846153846156,0.4666666666666667,0.47419571689234613,0.014426591689720974,3,1.0,1.0,1.0,1.0,0.0
0.13079071044921875,0.012144831137422561,0.07309452692667644,0.020122358000080758,15,1,5,50,"{'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",0.4578313253012048,0.43478260869565216,0.3448275862068966,0.4124805067345845,0.048754480657234735,20,0.9736842105263158,0.9454545454545454,0.9502262443438914,0.9564550001082509,0.012337653647678573
0.30362915992736816,0.03967642159018704,0.08649778366088867,0.03290712086690083,15,1,5,100,"{'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.47058823529411764,0.4,0.36363636363636365,0.4114081996434938,0.044401846636549766,24,0.9734513274336283,0.9454545454545454,0.9502262443438914,0.9563773724106884,0.012229260884361947
0.614712635676066,0.045975417349157666,0.11190374692281087,0.022197799392686787,15,1,5,200,"{'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.47619047619047616,0.37777777777777777,0.36363636363636365,0.4058682058682059,0.050059372588547896,27,0.9824561403508771,0.9688888888888889,0.9596412556053812,0.9703287616150491,0.009369619934953647
0.16307552655537924,0.02154043191816694,0.08196695645650227,0.01686535693021037,15,1,10,50,"{'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 50}",0.4878048780487805,0.4,0.2682926829268293,0.38536585365853665,0.09021093662881428,35,0.8585365853658536,0.8585365853658536,0.8737864077669902,0.8636198594995658,0.007188835221156136
0.26421348253885907,0.038404588194682746,0.10199594497680664,0.02577345042381253,15,1,10,100,"{'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.47619047619047616,0.36363636363636365,0.3058823529411765,0.38190306425600545,0.07071760023652941,39,0.8695652173913043,0.8585365853658536,0.8627450980392157,0.8636156335987911,0.0045443045092044
0.46655941009521484,0.04744328954696382,0.105927308400472,0.008284668196475276,15,1,10,200,"{'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",0.4578313253012048,0.3409090909090909,0.30952380952380953,0.3694214085780351,0.06381480498628656,44,0.8857142857142857,0.8803827751196173,0.8899521531100478,0.885349737981317,0.0039151773112800995
0.19740033149719238,0.02484731655987226,0.09030874570210774,0.009294336240674446,15,2,2,50,"{'max_depth': 15, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",0.4634146341463415,0.43956043956043955,0.35714285714285715,0.42003931028321273,0.04552822211232081,13,0.9406392694063926,0.9209302325581395,0.9454545454545454,0.9356746824730259,0.010609612726969884
0.3450787862141927,0.036916879562285815,0.09405946731567383,0.018437743082771237,15,2,2,100,"{'max_depth': 15, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.4666666666666667,0.4175824175824176,0.37209302325581395,0.41878070250163274,0.038618824615822576,16,0.9454545454545454,0.9454545454545454,0.9308755760368663,0.9405948889819857,0.006872592091968127
0.4636827309926351,0.02215842464554713,0.09667102495829265,0.024865978782578534,15,2,2,200,"{'max_depth': 15, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.4634146341463415,0.41304347826086957,0.32941176470588235,0.40195662570436447,0.05526530544730842,30,0.9454545454545454,0.954954954954955,0.9259259259259259,0.9421118087784754,0.012084467936328029
0.16923395792643228,0.025335078352411475,0.11755959192911784,0.03288864287447903,15,2,5,50,"{'max_depth': 15, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",0.47058823529411764,0.44680851063829785,0.3409090909090909,0.41943527894716875,0.05636867027004941,14,0.9315068493150684,0.9166666666666666,0.9056603773584906,0.9179446311134086,0.010590402038194573
0.317158301671346,0.035725166955588014,0.07923698425292969,0.010752828828509666,15,2,5,100,"{'max_depth': 15, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.47058823529411764,0.4090909090909091,0.38202247191011235,0.42056720543171305,0.03705628731380021,11,0.9216589861751152,0.9209302325581395,0.9158878504672897,0.9194923564001815,0.002566075826854799
0.4839668273925781,0.045646904196535325,0.12779871622721353,0.010215047413894712,15,2,5,200,"{'max_depth': 15, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.42857142857142855,0.3956043956043956,0.4222222222222222,0.41546601546601547,0.014281481318169111,17,0.9166666666666666,0.9259259259259259,0.9259259259259259,0.9228395061728395,0.004364856673991053
0.13646666208902994,0.017378838309156364,0.06301013628641765,0.007689263211956752,15,2,10,50,"{'max_depth': 15, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50}",0.4523809523809524,0.35294117647058826,0.2988505747126437,0.36805756785472815,0.06358340026087651,46,0.83,0.83,0.8102564102564103,0.8234188034188034,0.009307217461771627
0.2937173048655192,0.04037284758633719,0.09275166193644206,0.011649523181648969,15,2,10,100,"{'max_depth': 15, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",0.4523809523809524,0.3132530120481928,0.2619047619047619,0.342512908777969,0.08046697439346727,62,0.8415841584158416,0.8181818181818182,0.7853403141361257,0.8150354302445951,0.023068988167795863
0.5250767866770426,0.02430661864831463,0.09225932757059734,0.002479222634277231,15,2,10,200,"{'max_depth': 15, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",0.4444444444444444,0.3488372093023256,0.2682926829268293,0.35385811222453306,0.07200124013309477,52,0.8415841584158416,0.82,0.7979274611398963,0.8198372065185793,0.017823143765884397
0.17238640785217285,0.01721249379223267,0.10079224904378255,0.015729256012835754,15,4,2,50,"{'max_depth': 15, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 50}",0.41025641025641024,0.3764705882352941,0.2619047619047619,0.34954392013215546,0.06348667568088713,58,0.7684210526315789,0.7918781725888325,0.7897435897435897,0.7833476049880003,0.010590580245908629
0.2699832121531169,0.10510143056164807,0.0793014367421468,0.014702864225600113,15,4,2,100,"{'max_depth': 15, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",0.4691358024691358,0.3373493975903614,0.175,0.32716173335316573,0.12029632565876093,72,0.7486631016042781,0.8020304568527918,0.774869109947644,0.7751875561349046,0.02178829513807667
0.5367469787597656,0.058208973309451566,0.12150867780049641,0.007735302001350203,15,4,2,200,"{'max_depth': 15, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}",0.4444444444444444,0.3023255813953488,0.19753086419753085,0.3147669633457747,0.10118520977631247,84,0.78125,0.7959183673469388,0.7684210526315789,0.7818631399928392,0.011234100902371638
